time,Date,load_2030,solar,wind,gas,batt_charge,batt_discharge,SOC,load_net,load_and_charge
2030-01-01T01:00:00Z,1/1/2018,540.2591226244609,0,218.76060572852296,321.49851689593794,0,0,1101.882830996938,0,540.26
2030-01-01T02:00:00Z,1/1/2018,525.3799047794951,0,202.69855504938675,322.68134973010825,0,0,1101.882830996938,0,525.38
2030-01-01T03:00:00Z,1/1/2018,515.9830952953461,0,220.68352728870093,295.2995680066451,0,0,1101.882830996938,-0,515.98
2030-01-01T04:00:00Z,1/1/2018,511.9098752004001,0,240.02585592343578,209.95008521824658,0,61.93393405871772,1029.0193791631523,0,511.91
2030-01-01T05:00:00Z,1/1/2018,515.779413356812,0,259.9337497229298,0,0,255.84566363388222,728.02448077035,0,515.78
2030-01-01T06:00:00Z,1/1/2018,528.1872286392429,0,303.1429283104657,0,0,225.04430032877724,463.2664803835532,0,528.19
2030-01-01T07:00:00Z,1/1/2018,543.985717384314,0,337.52929032777314,0,0,206.4564270565408,220.3765661993876,0,543.99
2030-01-01T08:00:00Z,1/1/2018,552.5709669890821,228.93927268666317,359.24699265449317,0,35.61529835207432,0,255.991864551462,-0,588.19
2030-01-01T09:00:00Z,1/1/2018,547.223205634716,410.9220306049278,319.6574311214091,0,183.35625609162088,0,439.3481206430829,-0,730.58
2030-01-01T10:00:00Z,1/1/2018,555.991318291285,536.1514603970747,280.52032172013327,0,260.68046382592286,0,700.0285844690058,0,816.67
2030-01-01T11:00:00Z,1/1/2018,550.019109038402,633.3210793777233,241.83566445066265,0,325.1376347899841,0,1025.16621925899,-0,875.16
2030-01-01T12:00:00Z,1/1/2018,557.866726247056,687.2727826125456,267.62543596364276,0,397.0314923291324,0,1422.1977115881227,0,954.9
2030-01-01T13:00:00Z,1/1/2018,545.4638802467929,697.830895763332,292.05785108120307,0,444.42486659774227,0,1866.6225781858648,-0,989.89
2030-01-01T14:00:00Z,1/1/2018,554.4044222464411,659.3110655241607,314.1148925067773,0,337.1430838080112,0,2203.765661993876,81.88,891.55
2030-01-01T15:00:00Z,1/1/2018,550.2962315791539,562.319138158031,314.9066837374397,0,0,0,2203.765661993876,326.93,550.3
2030-01-01T16:00:00Z,1/1/2018,574.905828695935,286.51930318307706,315.13290980334284,0,0,0,2203.765661993876,26.75,574.91
2030-01-01T17:00:00Z,1/1/2018,633.4451996713211,0,316.2640401328594,317.18115953846166,0,0,2203.765661993876,-0,633.45
2030-01-01T18:00:00Z,1/1/2018,686.891339476893,0,237.0849170666932,410.11453174569147,0,39.691890664508705,2157.069320035631,0,686.89
2030-01-01T19:00:00Z,1/1/2018,678.3672592880871,0,144.44534307927825,410.11453174569147,0,123.80738446311753,2011.4135736084336,0,678.37
2030-01-01T20:00:00Z,1/1/2018,664.829758646182,0,78.16110576960163,388.26565364920003,0,198.4029992273803,1777.9982803997507,0,664.83
2030-01-01T21:00:00Z,1/1/2018,646.997768966886,0,100.55748629403197,0,0,546.4402826728541,1135.1273596081576,0,647
2030-01-01T22:00:00Z,1/1/2018,616.9508153324799,0,196.5904512699967,0,0,420.3603640624833,640.5857548287652,0,616.95
2030-01-01T23:00:00Z,1/1/2018,573.078249982655,0,343.6373941071633,0,0,229.4408558754919,370.6553361517159,0,573.08
2030-01-02T00:00:00Z,1/1/2018,536.1881164479471,0,408.4511619884681,0,0,127.73695445947902,220.3765661993876,0,536.19
2030-01-02T01:00:00Z,1/2/2018,514.008318878714,0,516.474108457309,0,2.465789578594829,0,222.84235577798248,0,516.47
2030-01-02T02:00:00Z,1/2/2018,504.27594892972405,0,641.9164620007075,0,137.6405130709834,0,360.48286884896584,0,641.92
2030-01-02T03:00:00Z,1/2/2018,501.748863019852,0,731.388871065476,0,229.6400080456238,0,590.1228768945897,0,731.39
2030-01-02T04:00:00Z,1/2/2018,505.14198138086107,0,801.5189514955085,0,296.3769701146477,0,886.4998470092374,-0,801.52
2030-01-02T05:00:00Z,1/2/2018,518.8479435213951,0,844.7281300830454,0,325.88018656165036,0,1212.380033570888,-0,844.73
2030-01-02T06:00:00Z,1/2/2018,548.721905118838,0,804.4598903522518,0,255.73798523341398,0,1468.118018804302,-0,804.46
2030-01-02T07:00:00Z,1/2/2018,594.491083720534,0,737.8363139437203,0,143.34523022318632,0,1611.463249027488,-0,737.84
2030-01-02T08:00:00Z,1/2/2018,620.154648455055,336.46541016978756,664.312842525137,0,380.62360423986974,0,1992.086853267358,-0,1000.78
2030-01-02T09:00:00Z,1/2/2018,601.351212118026,601.8633638456529,610.2448127742405,0,211.67880872651835,0,2203.765661993876,399.08,813.03
2030-01-02T10:00:00Z,1/2/2018,599.630991462942,742.2883725787103,565.2258256594776,0,0,0,2203.765661993876,707.88,599.63
2030-01-02T11:00:00Z,1/2/2018,573.598318427968,808.9373741252639,528.2378638842819,0,0,0,2203.765661993876,763.58,573.6
2030-01-02T12:00:00Z,1/2/2018,563.983040879043,829.9675247118475,636.7132624849309,0,0,0,2203.765661993876,902.7,563.98
2030-01-02T13:00:00Z,1/2/2018,564.1353192228621,807.1395278931611,721.774263264584,0,0,0,2203.765661993876,964.78,564.14
