Hour,Date,2030_load,solar,wind,gas,batt_charge,batt_discharge,SOC,net_load,load_and_charge
4625,7/12/2018,712.2343878725509,220.8540344276845,115.92449676466225,361.42354052137773,0.0,14.032316158826491,2797.3337504973174,0.0,712.23
4626,7/12/2018,717.868915868655,62.11625034109946,114.75522950622945,361.42354052137773,0.0,179.57389549994832,2586.0703440267907,0.0,717.87
4627,7/12/2018,693.8798852430649,0.0,129.62162750630824,361.42354052137773,0.0,202.83471721537902,2347.441264949874,0.0,693.88
4628,7/12/2018,674.9048748838941,0.0,107.73962595562973,361.42354052137773,0.0,205.7417084068867,2105.3921962358895,0.0,674.9
4629,7/12/2018,613.2087534425059,0.0,102.39440420279158,361.42354052137773,0.0,149.39080871833656,1929.6383036260816,0.0,613.21
4630,7/12/2018,547.506836668063,0.0,104.7329387196586,361.42354052137773,0.0,81.35035742702668,1833.9320007707558,0.0,547.51
4631,7/12/2018,502.77063746455195,0.0,121.93787123660447,361.42354052137773,0.0,19.409225706569774,1811.0976175865565,0.0,502.77
4632,7/13/2018,472.826375201696,0.0,176.8934323829638,34.66444114897861,0.0,261.2685016697537,1503.7229097397872,0.0,472.83
4633,7/13/2018,453.366059992642,0.0,271.93815667560506,0.0,0.0,181.42790331703696,1290.2783176020966,0.0,453.37
4634,7/13/2018,443.512561724979,0.0,318.54180883315655,0.0,0.0,124.97075289182244,1143.2539024352468,0.0,443.51
4635,7/13/2018,445.45679894756404,0.0,372.82921726041184,0.0,0.0,72.6275816871524,1057.8096886856558,0.0,445.46
4636,7/13/2018,457.977159958544,54.06792120016614,434.8003819573694,0.0,30.891143198991525,0.0,1088.7008318846474,0.0,488.87
4637,7/13/2018,478.371977233654,302.3233754584483,257.0717586755248,0.0,81.02315690031901,0.0,1169.7239887849664,0.0,559.4
4638,7/13/2018,505.24876467807786,480.2662364486114,153.84216357385245,0.0,128.859635344386,0.0,1298.5836241293523,-0.0,634.11
4639,7/13/2018,558.1465716228531,626.2872110823741,115.0893058657815,0.0,183.22994532530254,0.0,1481.813569454655,0.0,741.38
4640,7/13/2018,585.3775226641229,745.6117158449887,97.38325880950688,0.0,257.61745199037256,0.0,1739.4310214450277,0.0,842.99
4641,7/13/2018,615.6376677637071,828.35209835528,83.51908988808555,0.0,296.2335204796585,0.0,2035.6645419246863,-0.0,911.87
4642,7/13/2018,652.70700146224,874.0855482692642,72.49457002285722,0.0,293.8731168298814,0.0,2329.537658754568,0.0,946.58
4643,7/13/2018,676.941864520202,891.5653916378208,58.12928656210715,0.0,272.7528136797259,0.0,2602.290472434294,0.0,949.69
4644,7/13/2018,730.640694016018,873.8337222415247,44.933270359789894,0.0,188.1262985852965,0.0,2790.4167710195907,0.0,918.77
4645,7/13/2018,832.2685920951709,821.6183901442382,34.07578867433829,0.0,23.425586723405676,0.0,2813.842357742996,-0.0,855.69
4646,7/13/2018,853.045230879924,741.9138360938298,37.583590449638145,73.54780433645611,0.0,0.0,2813.842357742996,0.0,853.05
4647,7/13/2018,860.8508721741239,628.9937545862568,41.091392224938,190.76572536292926,0.0,0.0,2813.842357742996,0.0,860.85
4648,7/13/2018,874.5032111614559,493.636554549968,47.10476669688021,24.442822028322823,0.0,309.31906788628487,2449.9375719944255,0.0,874.5
4649,7/13/2018,843.7865203783659,331.43782169511417,120.10045125906618,0.0,0.0,392.2482474241857,1988.4690456130304,0.0,843.79
4650,7/13/2018,816.0827590458891,97.06456566808636,250.05615512492645,0.0,0.0,468.96203825287637,1436.7490006096464,0.0,816.08
4651,7/13/2018,767.686848136785,0.0,451.1701235754345,0.0,0.0,316.5167245613505,1064.3763834786457,0.0,767.69
4652,7/13/2018,733.006816946298,0.0,501.78269204761466,0.0,0.0,231.22412489868344,792.3480012449006,0.0,733.01
4653,7/13/2018,661.296630897821,0.0,560.5801313288258,0.0,0.0,100.71649956899516,673.858001751965,-0.0,661.3
4654,7/13/2018,592.539775704963,0.0,627.0613268797422,0.0,34.52155117477908,0.0,708.3795529267442,0.0,627.06
4655,7/13/2018,539.4324683832609,0.0,549.7226496433755,0.0,10.290181260114672,0.0,718.6697341868589,-0.0,549.72
4656,7/14/2018,502.4135765844411,0.0,477.72919415984563,0.0,0.0,24.684382424595512,689.6292842755701,0.0,502.41
4657,7/14/2018,476.787784480408,0.0,413.0854185864676,0.0,0.0,63.70236589394032,614.6853244003461,-0.0,476.79
4658,7/14/2018,459.91016979858705,0.0,361.1365446760794,0.0,0.0,98.77362512250768,498.4810595503371,0.0,459.91
4659,7/14/2018,449.95585541216207,0.0,328.2300232601739,0.0,0.0,121.72583215198823,355.2741981950568,0.0,449.96
4660,7/14/2018,450.741326101089,76.24161458111193,311.6932434623335,0.0,0.0,62.80646805764357,281.3842357742996,0.0,450.74
4661,7/14/2018,452.33875081744395,400.96432046159055,240.20090251813235,0.0,188.82647216227895,0.0,470.2107079365787,0.0,641.17
4662,7/14/2018,480.905192571942,600.7720368176949,183.90903593356353,0.0,303.7758801793166,0.0,773.9865881158952,-0.0,784.68
4663,7/14/2018,517.663697316743,742.6828171396913,142.31652916929676,0.0,367.33564899224535,0.0,1141.3222371081406,-0.0,885.0
4664,7/14/2018,555.96812074404,848.5552935052776,155.67958355139072,0.0,448.2667563126284,0.0,1589.5889934207692,-0.0,1004.23
4665,7/14/2018,600.82237692823,890.2061372189298,172.21636334923113,0.0,461.6001236399308,0.0,2051.1891170607,0.0,1062.42
4666,7/14/2018,647.012804042542,874.3353624682514,189.92241040550573,0.0,417.24496883121515,0.0,2468.4340858919154,0.0,1064.26
4667,7/14/2018,695.430785537154,835.4623871044433,145.4902545850446,0.0,285.52185615233367,0.0,2753.9559420442492,0.0,980.95
4668,7/14/2018,765.3005029851508,806.1567654907395,109.57704593316801,0.0,59.88641569874679,0.0,2813.842357742996,90.55,825.19
4669,7/14/2018,831.037062159417,785.3032965813799,81.68166991054724,0.0,0.0,0.0,2813.842357742996,35.95,831.04
4670,7/14/2018,853.8686860293199,735.4907218463404,144.6550636861638,0.0,0.0,0.0,2813.842357742996,26.28,853.87
4671,7/14/2018,895.543792727154,640.1057984341577,226.33673359670965,0.0,0.0,29.10126069628673,2779.605580453247,0.0,895.54
4672,7/14/2018,935.567046470335,508.4101995007868,328.7311377995026,0.0,0.0,98.42570917004566,2663.8106284884875,0.0,935.57
4673,7/14/2018,915.66494192977,347.30001624265344,517.4842809465741,0.0,0.0,50.88064474054241,2603.9510464407904,0.0,915.66
4674,7/14/2018,874.919007839271,103.66636880821015,752.5069998916449,0.0,0.0,18.745639139415907,2581.897353335595,-0.0,874.92
4675,7/14/2018,828.660229288873,0.0,997.5520096232871,0.0,168.89178033441414,0.0,2750.78913367001,-0.0,997.55
4676,7/14/2018,788.267563862732,0.0,887.3068109710149,0.0,63.05322407298684,0.0,2813.842357742996,35.99,851.32
4677,7/14/2018,716.3167073440759,0.0,764.3667106557529,0.0,0.0,0.0,2813.842357742996,48.05,716.32
4678,7/14/2018,643.1070226287641,0.0,651.1148247675096,0.0,0.0,0.0,2813.842357742996,8.01,643.11
4679,7/14/2018,581.763978745675,0.0,518.8205863847837,0.0,0.0,62.94339236089118,2739.7913079066534,-0.0,581.76
4680,7/15/2018,540.164235515408,0.0,417.09433490109615,0.0,0.0,123.06990061431176,2595.0031895368747,-0.0,540.16
4681,7/15/2018,510.314685913385,0.0,346.9382993951046,0.0,0.0,163.37638651828033,2402.7956759859567,-0.0,510.31
4682,7/15/2018,486.07051125537,0.0,393.54195155265614,0.0,0.0,92.52855970271384,2293.9385469239405,0.0,486.07
4683,7/15/2018,474.306866095353,0.0,515.9809373285893,0.0,41.67407123323634,0.0,2335.6126181571767,0.0,515.98
4684,7/15/2018,472.63514309488903,48.36568252036058,651.9500156663904,0.0,227.6805550918619,0.0,2563.293173249039,0.0,700.32
4685,7/15/2018,471.509172564363,309.65111308219775,646.437755733777,0.0,250.54918449395717,0.0,2813.842357742996,234.03,722.06
4686,7/15/2018,484.571557444105,485.2782418019296,643.5981066775826,0.0,0.0,0.0,2813.842357742996,644.3,484.57
4687,7/15/2018,496.7686647219651,605.6968997029588,632.072472273027,0.0,0.0,0.0,2813.842357742996,741.0,496.77
4688,7/15/2018,502.653799391628,700.181756284516,487.083332227311,0.0,0.0,0.0,2813.842357742996,684.61,502.65
4689,7/15/2018,498.32253037347397,742.4408741913542,357.4617047210028,0.0,0.0,0.0,2813.842357742996,601.58,498.32
4690,7/15/2018,494.72904813155196,729.5170764344495,254.9002623384359,0.0,0.0,0.0,2813.842357742996,489.69,494.73
4691,7/15/2018,492.059521314694,685.4261215439526,237.86236800126534,0.0,0.0,0.0,2813.842357742996,431.23,492.06
4692,7/15/2018,491.65647299804203,631.8068827585774,228.6752681135767,0.0,0.0,0.0,2813.842357742996,368.83,491.66
4693,7/15/2018,508.40095286404,563.1153821303546,227.33896267536713,0.0,0.0,0.0,2813.842357742996,282.05,508.4
4694,7/15/2018,515.4886098783201,453.67518687360104,196.10282305722325,0.0,0.0,0.0,2813.842357742996,134.29,515.49
4695,7/15/2018,520.229803096297,339.69107801335684,174.8889742256502,5.649750857290029,0.0,0.0,2813.842357742996,0.0,520.23
4696,7/15/2018,546.906913041415,252.18277169317622,169.8778288323641,124.84631251587477,0.0,0.0,2813.842357742996,0.0,546.91
4697,7/15/2018,557.3349020903051,166.30366401602205,204.9558465853599,186.07539148892323,0.0,0.0,2813.842357742996,0.0,557.33
4698,7/15/2018,560.0922041688741,49.607483230994546,251.726536922688,258.7581840151916,0.0,0.0,2813.842357742996,0.0,560.09
4699,7/15/2018,567.858736926476,0.0,311.35916710278,256.499569823696,0.0,0.0,2813.842357742996,0.0,567.86
